absolute time(s)	TEP (mV)	Va (mV)	Vb (mV)	A ratio	TTL signal	Temp (C)	comment time	comment
3717700437.146294	2.758462	-57.192260	-54.433798	1.141217	-0.000209	-0.000334	0.000000	
3717700437.246027	2.758462	-57.232920	-54.474458	1.141217	-0.000178	-0.000334	0.000000	
3717700437.345769	2.758462	-56.657433	-53.898971	1.141217	-0.000178	-0.000334	0.000000	
3717700437.445864	2.758462	-57.082793	-54.324331	1.141217	-0.000178	-0.000334	0.000000	
3717700437.546589	2.761588	-57.653588	-54.892000	1.141217	-0.000209	-0.000334	0.000000	
3717700437.647320	2.761588	-58.105533	-55.343945	1.141217	-0.000209	-0.000334	0.000000	
3717700437.747025	2.761588	-57.517535	-54.755947	1.141217	-0.000146	-0.000334	0.000000	
3717700437.846810	2.764714	-57.598854	-54.834140	1.141217	-0.000271	-0.000334	0.000000	
3717700437.947517	2.764714	-58.177469	-55.412755	1.141217	-0.000178	-0.000334	0.000000	
3717700438.047222	2.764714	-57.276707	-54.511992	1.141217	-0.000209	-0.000334	0.000000	
3717700438.146955	2.764714	-58.372947	-55.608233	1.141217	-0.000271	-0.000334	0.000000	
3717700438.247685	2.764714	-57.908491	-55.143777	1.141217	-0.000209	-0.000334	0.000000	
3717700438.347454	2.764714	-57.716141	-54.951427	1.141217	-0.000209	-0.000334	0.000000	
3717700438.447152	2.766277	-57.999193	-55.232916	1.141217	-0.000209	-0.000334	0.000000	
3717700438.546886	2.767840	-58.110224	-55.342384	1.141217	-0.000178	-0.000334	0.000000	
3717700438.647618	2.767840	-58.189979	-55.422139	1.141217	-0.000146	-0.000334	0.000000	
3717700438.747350	2.767840	-58.759211	-55.991371	1.141217	-0.000209	-0.000334	0.000000	
3717700438.847083	2.767840	-58.096150	-55.328310	1.141217	-0.000178	-0.000334	0.000000	
3717700438.946816	2.767840	-58.179033	-55.411192	1.141217	-0.000178	-0.000334	0.000000	
3717700439.047577	2.767840	-58.182160	-55.414320	1.141217	-0.000146	-0.000334	0.000000	
3717700439.147295	2.770966	-58.998476	-56.227510	1.141217	-0.000271	-0.000334	0.000000	
3717700439.247251	2.767840	-58.133682	-55.365842	1.141217	-0.000209	-0.000334	0.000000	
3717700439.346985	2.767840	-57.886598	-55.118757	1.141217	-0.000178	-0.000334	0.000000	
3717700439.448714	2.767840	-57.520663	-54.752823	1.141217	-0.000178	-0.000334	0.000000	
3717700439.548453	2.770966	-57.351770	-54.580804	1.141217	-0.000240	-0.000334	0.000000	
3717700439.648214	2.767840	-57.379919	-54.612079	1.141217	-0.000209	-0.000334	0.000000	
3717700439.747919	2.767840	-57.099995	-54.332154	1.141217	-0.000178	-0.000334	0.000000	
3717700439.848649	2.767840	-57.791204	-55.023364	1.141217	-0.000115	-0.000334	0.000000	
3717700439.948406	2.767840	-57.855321	-55.087481	1.141217	-0.000271	-0.000334	0.000000	
3717700440.048146	2.767840	-58.143065	-55.375224	1.141217	-0.000178	-0.000334	0.000000	
3717700440.147911	2.767840	-57.874087	-55.106247	1.141217	-0.000146	-0.000334	0.000000	
3717700440.248672	2.764714	-57.645769	-54.881055	1.141217	-0.000178	-0.000334	0.000000	
3717700440.348344	2.767840	-58.154011	-55.386171	1.141217	-0.000240	-0.000334	0.000000	
3717700440.448305	2.767840	-58.055491	-55.287650	1.141217	-0.000240	-0.000334	0.000000	
3717700440.548074	2.767840	-57.648897	-54.881056	1.141217	-0.000178	-0.000334	0.000000	
3717700440.647839	2.767840	-57.828736	-55.060896	1.141217	-0.000178	-0.000334	0.000000	
3717700440.748536	2.764714	-57.755237	-54.990522	1.141217	-0.000178	-0.000334	0.000000	
3717700440.848269	2.770966	-57.622312	-54.851345	1.141217	-0.000178	-0.000334	0.000000	
3717700440.948003	2.767840	-58.002321	-55.234480	1.141217	-0.000146	-0.000334	0.000000	
