chamber,meas_ID,meas_idx,Va_rail,Eout_rail,circuitValuesKnown,RsolA,RsolB,Ra,Ca,Rb,Cb,Rs,Rsolg,R1g,C1g,R2g,C2g,tau1,tau2,tauMEM12,TER12,TEC12,resnormbest12,RsolAg,RsolBg,Rag,Cag,Rbg,Cbg,Rsg,taua,taub,tauMEMabs,TERabs,TECabs,resnormbestabs,simVSmeasured,rsme_simVSmeasured,RsolAg_sim,RsolBg_sim,Rag_sim,Cag_sim,Rbg_sim,Cbg_sim,Rsg_sim,taua_sim,taub_sim,tauMEMabs_sim,TERabs_sim,TECabs_sim,resnormbestabs_sim,dRsolA,dRsolB,dRa,dCa,dRb,dCb,dRs,dRsolA_sim,dRsolB_sim,dRa_sim,dCa_sim,dRb_sim,dCb_sim,dRs_sim
model,20221201_131652,3,0,0,1,99.2,0.28,988,1.07e-06,9790,9.2e-08,10029,104.598031310734,2361.29185912037,2.02910844109969e-07,4293930.61000897,1.4411406628849e-07,0.000479131724324112,0.000407519728183291,0.000446544483385307,5189.05002789975,8.42657283741997e-08,0.000280154656986376,125.27827002042,1.04266770581045e-10,457.344510628641,1.26882242760195e-06,4722.9813826235,9.08499773798456e-08,4293930.61000897,0.00058028897222626,0.000429082751776777,0.000566939747424485,5174.08372440365,8.47796045755752e-08,0.026444842441268,1,10.23206136408,199.99999999999,9.76715046352205e-11,16069.8657514593,3.24019240518906e-07,78370.1747944362,1.19904635023802e-07,5421.83689140634,0.00520694569602862,0.00939694720547848,0.00591991406586482,5127.46714760224,8.75181780380977e-08,0.862266553931607,26.0782700204197,-0.279999999895733,-530.655489371359,1.98822427601954e-07,-5067.0186173765,-1.15002262015436e-09,4283901.61000897,100.79999999999,-0.279999999902329,15081.8657514593,-7.45980759481094e-07,68580.1747944362,2.79046350238024e-08,-4607.16310859366
model,20221117_181417,2,0,0,1,0.4,98.7,9837,1.07e-06,9790,2.34e-06,1000.9,100.476524951892,939.557691169538,7.31008523533437e-07,987.411546246879,0.000999998227376563,0.000686824680596329,0.00889468939796275,0.00881771501635254,948.452396334463,7.30474539472306e-07,0.000640207299930612,6.74312194320446e-12,107.793832583267,9600.4620431796,1.16666544028005e-06,11145.938997244,2.02829995424083e-06,987.411546246879,0.0112005272764981,0.0226073075580812,0.0164790505690369,942.551420681077,7.40648854348311e-07,0.0771937615575559,1,3.35585375354077,2.14454028206504,93.5991194955958,9775.34507766047,1.16827314658097e-06,11627.7281837149,1.94867210845189e-06,998.212628147577,0.0114202731527932,0.0226586295962652,0.0165531253838296,953.731768615342,7.30388604714732e-07,0.0137402025661815,-0.399999999993257,9.09383258326709,-236.537956820404,9.66654402800546e-08,1355.93899724403,-3.11700045759166e-07,-13.4884537531209,1.74454028206504,-5.10088050440419,-61.6549223395268,9.82731465809657e-08,1837.72818371492,-3.91327891548114e-07,-2.68737185242333
model,20221018_192722,3,0,0,1,0.35,0.28,988,1.07e-06,994,1.01e-06,100.3,0.0143589643521298,94.1389529514569,5.31325260664618e-07,1448.50165978971,2.95539024594732e-06,5.0018403715627e-05,6.43793441320567e-06,7.42357643362939e-06,96.31732327735,4.50358938036638e-07,0.053064541452677,7.21626663528162e-09,0.000221894069127307,53.7077401010936,1.36697161481298e-06,49.8107511640232,7.01123653514215e-07,1448.50165978971,7.3416956213948e-05,3.49234958404074e-05,5.34456762999166e-05,96.6138914591653,4.63429392014001e-07,0.570633603997002,1,1.6439896544281,0.683955870901865,1.11106656412664e-11,1012.64885086828,1.07006820232113e-06,1017.90179542375,1.01204588246059e-06,100.123793576238,0.00108360333543117,0.00103016332080784,0.00105695245159455,95.4188166672754,5.20124293873471e-07,0.00026075315247718,-0.349999992783733,-0.279778105930873,-934.292259898906,2.96971614812984e-07,-944.189248835977,-3.08876346485785e-07,1348.20165978971,0.333955870901865,-0.279999999988889,24.6488508682803,6.82023211250821e-11,23.9017954237473,2.04588246058723e-09,-0.17620642376194
model,20221117_180703,1,0,0,1,0.4,98.7,9837,1.07e-06,9790,1.01e-06,100.3,102.698353923574,13.5625040474929,7.73262637729191e-08,503.950295390756,7.52749330723694e-07,1.04873776539772e-06,6.20785698134324e-05,9.66795472079607e-06,96.0316173096063,7.01228824077494e-08,0.0460575695571655,24.7195582293702,87.8122036381066,31.5857242703195,3.8918395981735e-06,72.6177120084295,7.77738381811231e-07,503.950295390756,0.000122926572452219,5.647758182827e-05,0.000102784823093065,86.3488124117032,6.48202695045737e-07,0.388140288590214,1,3.43762550588257,2.94939640603487e-15,99.4056371743989,105.26219469245,1.57402915983035e-06,218.675799705408,7.83450916348521e-07,143.647978916136,0.000165685763873656,0.000171321755662448,0.000167517154063188,99.5176092635929,5.23090141922715e-07,0.0713934992257165,24.3195582293702,-10.8877963618935,-9805.41427572968,2.8218395981735e-06,-9717.38228799157,-2.32261618188769e-07,403.650295390756,-0.399999999999997,0.705637174398944,-9731.73780530755,5.04029159830347e-07,-9571.32420029459,-2.26549083651479e-07,43.3479789161356
model,20221214_171101,2,0,0,1,99.2,98.7,988,2.35e-06,994,1.01e-06,1000.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.4328218513483,99.0220015343148,939.112744283465,2.20082915644447e-06,943.926778222446,1.04488403157787e-06,1024.38425552722,0.00206682670880763,0.00098629401754338,0.00152794156654,663.45885108482,7.08507224324712e-07,0.00807587244080566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.767178148651709,0.322001534314794,-48.887255716535,-1.49170843555531e-07,-50.0732217775537,3.48840315778701e-08,23.4842555272174
model,20221212_165442,1,0,0,1,99.2,98.7,99.2,1.07e-06,9790,1.01e-06,100.3,199.999999999818,68.8040758385177,5.72471921055745e-07,144.151364699317,9.20651096482203e-06,3.93884014717414e-05,0.000255547523793163,0.00019341100719082,96.5613364087388,5.38958813995241e-07,0.0494549296478101,95.5080712828849,109.701530088686,64.3910477655638,8.65554842273655e-07,192.484780770667,1.67188435840258e-06,144.151364699317,5.5733983192558e-05,0.000321812294201029,0.000122431816660024,92.335387391089,5.70302374831791e-07,0.160087676721716,1,2.10797310715759,90.298681529337,109.693164449545,68.3604175350867,7.84542238343584e-07,200.461982005265,1.49192652129856e-06,151.109765610029,5.36316349870789e-05,0.000299074547465728,0.000116046746252945,96.7339326596265,5.1416447843006e-07,0.116462725132786,-3.69192871711515,11.0015300886864,-34.8089522344362,-2.04445157726345e-07,-9597.51521922933,6.61884358402583e-07,43.8513646993169,-8.90131847066304,10.9931644495447,-30.8395824649133,-2.85457761656416e-07,-9589.53801799474,4.81926521298556e-07,50.809765610029
model,20221018_182244,3,0,0,1,0.35,0.28,988,9.2e-08,994,2.34e-06,10029,3.93194647865781,903.405900246015,9.16603020137058e-08,4993996.69991635,2.85829803831652e-06,8.28064576575136e-05,0.00213997785508625,0.00120771772393032,1652.09544430303,8.88122580768198e-08,0.00142742170365429,1.36307031331543e-08,25.4567052076331,913.522674949052,9.57996438737463e-08,724.863277460504,3.18536564466098e-06,4993996.69991635,8.75151469307113e-05,0.00230895458109905,0.0013261337344218,1637.8486216232,9.30025974102824e-08,0.648029111935218,1,3.00611356618067,0.00226776375164587,3.56679334440056e-10,902.311368548613,8.96506611420897e-08,754.621166607232,2.79046498029534e-06,4999999.99999974,8.08928107464069e-05,0.0021057439388071,0.00118356063439186,1656.38363196974,8.68600644981291e-08,0.309150601278607,-0.349999986369297,25.1767052076331,-74.477325050948,3.79964387374628e-09,-269.136722539496,8.4536564466098e-07,4983967.69991635,-0.347732236248354,-0.279999999643321,-85.6886314513871,-2.3493388579103e-09,-239.378833392768,4.50464980295344e-07,4989970.99999974
model,20221212_154031,2,0,0,1,99.2,98.7,99.2,9.2e-08,9790,1.01e-06,1000.9,199.999999998428,94.0733332993444,8.74531886813075e-08,1743.85730996266,1.2338060363206e-06,8.2270129669071e-06,0.00100137575462133,0.000111384784475277,905.68855088054,8.16647256259087e-08,0.000876666688128702,99.7972925899312,100.388368568027,99.2046374153881,2.32828162608134e-07,1777.79564056354,1.11562378030837e-06,1743.85730996266,2.30976334516309e-05,0.00198335109314123,0.000126702430953398,903.990443163571,1.92627283675634e-07,0.0608130085254512,1,3.85524646991253,92.1989186815838,102.559507273794,96.7516839500867,1.00220222987013e-07,1673.71313352566,1.10044342126697e-06,1877.46345301079,9.69647533984668e-06,0.00184182660687644,0.000109818021779042,911.19746420036,9.18547718103784e-08,0.00317653514271203,0.597292589931229,1.68836856802727,0.00463741538808904,1.40828162608134e-07,-8012.20435943646,1.05623780308366e-07,742.957309962657,-7.00108131841615,3.85950727379355,-2.44831604991329,8.22022298701279e-09,-8116.28686647434,9.04434212669671e-08,876.563453010791
model,20221020_153410,3,1,0,1,0.4,0.28,9837,9.2e-08,994,9.2e-08,10029,5.73113760452053,1103.11228128645,7.53594785835171e-08,15741.0181069533,1.18410132567034e-07,8.31299663368208e-05,0.000485093406235234,0.000168403991465687,5199.83437523914,4.60512141004595e-08,0.00108644708273886,16.430755586519,1.7957021966636e-08,6853.47935441797,9.50656038966369e-08,872.496302067445,8.28979458077479e-08,15741.0181069533,0.000651530153620878,7.23281511662475e-05,0.000137737573582369,5182.373333737,4.42829067699253e-08,1.54313371145181,1,10.2492258451563,2.77198618052739e-14,0.173484193490393,9822.72152273524,9.19275804032022e-08,993.005142869344,8.98317122730136e-08,10050.3165934432,0.000902979022559509,8.92033522798617e-05,0.000163917095582884,5209.49160451576,4.5433781300225e-08,0.00540613971012229,16.030755586519,-0.279999982042978,-2983.52064558203,3.0656038966369e-09,-121.503697932555,-9.10205419225211e-09,5712.01810695325,-0.399999999999972,-0.106515806509607,-14.2784772647574,-7.24195967978022e-11,-0.994857130655532,-2.16828772698643e-09,21.3165934432436
model,20221102_175245,3,0,0,1,0.4,98.7,988,9.2e-08,994,9.2e-08,10029,102.459523803247,276.768048660756,2.21051425306819e-07,1571.75817065372,5.75682112249739e-08,6.11799716358472e-05,7.92087317177521e-05,6.41991815228161e-05,1652.6789903471,4.5673504215459e-08,0.00176894508932435,2.77412319492598e-10,194.156074013257,807209.068976556,1.08109551322675e-07,888312.414464648,9.82301431583939e-08,1571.75817065372,0.0872670102706498,0.0872590556422409,0.0872632232067555,1570.30249120933,5.14666687373157e-08,0.0524815500479552,1,4.65689670265102,2.02830405119047e-07,199.999998411126,619461.664663674,1.11001886310624e-07,697970.432932951,9.88813464774099e-08,1566.20008475917,0.0687614132747872,0.0690162562098309,0.0688812414079092,1564.34035324184,5.2295821034031e-08,0.198657408783471,-0.399999999722588,95.4560740132569,806221.068976556,1.61095513226752e-08,887318.414464648,6.23014315839393e-09,-8457.24182934628,-0.399999797169595,101.299998411126,618473.664663674,1.90018863106244e-08,696976.432932951,6.88134647740989e-09,-8462.79991524083
