chamber,meas_ID,meas_idx,Va_rail,Eout_rail,simVSmeasured,rsme_simVSmeasured,circuitValuesKnown,RsolA,RsolB,Ra,Ca,Rb,Cb,Rs,Rsolg,R1g,C1g,R2g,C2g,tau1,tau2,tauMEM12,TER12,TEC12,resnormbest12,RsolAg,RsolBg,Rag,Cag,Rbg,Cbg,Rsg,taua,taub,tauMEMabs,TERabs,TECabs,resnormbestabs,RsolAg_sim,RsolBg_sim,Rag_sim,Cag_sim,Rbg_sim,Cbg_sim,Rsg_sim,taua_sim,taub_sim,tauMEMabs_sim,TERabs_sim,TECabs_sim,resnormbestabs_sim,dRsolA,dRsolB,dRa,dCa,dRb,dCb,dRs,dRsolA_sim,dRsolB_sim,dRa_sim,dCa_sim,dRb_sim,dCb_sim,dRs_sim
model,20220923_165127,1,0,0,1,1.500890172,1,0.35,0.28,99.2,9.03E-08,98.9,9.20E-08,100.3,0.011042086,1.000327529,2.32E-05,66.11075236,4.55E-08,2.32E-05,3.01E-06,2.29E-05,67.11107989,4.54E-08,0.365493595,27.90621185,2.52E-14,3878.400587,2.68E-07,3501.610219,3.09E-07,39.45315031,0.001041114,0.001083295,0.001063281,39.24335738,1.44E-07,0.866000578,0.560622816,1.011628218,167.4237453,9.28E-08,166.1209517,9.48E-08,81.73113143,1.55E-05,1.58E-05,1.56E-05,65.64549054,4.69E-08,1.49E-06,27.55621185,-0.28,3779.200587,1.78E-07,3402.710219,2.17E-07,-60.84684969,0.210622816,0.731628218,68.22374528,2.47E-09,67.22095167,2.83E-09,-18.56886857
model,20220923_165127,2,0,0,1,1.666161083,1,0.35,0.28,99.2,9.03E-08,98.9,9.20E-08,1000.9,4.18E-16,1.774095366,1.11E-05,163.9617995,4.48E-08,1.96E-05,7.34E-06,1.95E-05,165.7358949,4.46E-08,0.022748567,1.39E-10,3.295850813,133.6741206,1.00E-07,122.1806428,8.63E-08,445.031829,1.34E-05,1.05E-05,1.19E-05,162.456401,4.64E-08,0.108264007,0.304432904,0.309750769,136.4216701,9.00E-08,135.8907256,9.23E-08,421.1900914,1.23E-05,1.25E-05,1.24E-05,165.3855393,4.56E-08,2.80E-07,-0.35,3.015850813,34.47412056,9.98E-09,23.28064282,-5.69E-09,-555.868171,-0.045567096,0.029750769,37.22167006,-3.42E-10,36.99072558,3.13E-10,-579.7099086
model,20220923_165127,3,0,0,1,1.704014383,1,0.35,0.28,99.2,9.03E-08,98.9,9.20E-08,10029,0.054426019,4.328997877,3.87E-06,190.046806,4.51E-08,1.67E-05,8.57E-06,1.66E-05,194.3758039,4.46E-08,0.017220117,2.77E-06,0.990520344,195.2265679,9.95E-08,183.6827439,8.17E-08,395.3152917,1.94E-05,1.50E-05,1.71E-05,193.4692393,4.49E-08,0.11719442,0.268613442,0.333178372,117.8487977,8.96E-08,117.3442364,9.26E-08,1117.218758,1.06E-05,1.09E-05,1.07E-05,194.2914658,4.56E-08,3.00E-07,-0.349997231,0.710520344,96.02656791,9.18E-09,84.78274392,-1.03E-08,-9633.684708,-0.081386558,0.053178372,18.64879771,-6.53E-10,18.44423636,6.09E-10,-8911.781242
model,20220923_170313,1,0,0,1,1.786801132,1,0.35,0.28,99.2,9.03E-08,98.9,1.01E-06,100.3,0.017933429,51.85662975,8.57E-08,15.12774108,4.50E-06,4.44E-06,6.80E-05,5.36E-05,66.98437083,8.41E-08,0.25561673,5.231534695,19.52615637,31.3404586,3.58E-07,12.36143319,6.89E-06,1350.042077,1.12E-05,8.52E-05,6.43E-05,42.33158606,3.40E-07,0.563858263,1.62E-05,2.85E-08,116.7489004,8.90E-08,105.1995217,1.25E-06,96.746346,1.04E-05,0.000131008,7.38E-05,67.37700455,8.30E-08,0.173956331,4.881534695,19.24615637,-67.8595414,2.68E-07,-86.53856681,5.88E-06,1249.742077,-0.349983839,-0.279999972,17.54890044,-1.34E-09,6.299521691,2.35E-07,-3.553653998
model,20220923_170313,2,0,0,1,1.624689982,1,0.35,0.28,99.2,9.03E-08,98.9,1.01E-06,1000.9,3.08E-14,91.81457269,8.62E-08,73.66736516,1.23E-06,7.91E-06,9.03E-05,5.36E-05,165.4819378,8.05E-08,0.034118098,10.62885684,26.50578584,74.48470756,2.89E-07,54.16360993,2.00E-06,4999999.181,2.15E-05,0.000108119,7.17E-05,128.6450075,2.53E-07,0.141962703,0.001180565,5.86E-11,98.81535134,8.80E-08,67.72241452,1.55E-06,767626.9158,8.70E-06,0.000105157,6.59E-05,166.5016431,8.33E-08,0.463899139,10.27885684,26.22578584,-24.71529244,1.99E-07,-44.73639007,9.86E-07,4998998.281,-0.348819435,-0.28,-0.384648664,-2.31E-09,-31.17758548,5.43E-07,766626.0158
model,20220923_170313,3,0,0,1,1.784863596,1,0.35,0.28,99.2,9.03E-08,98.9,1.01E-06,10029,5.48E-11,95.90739549,1.03E-06,98.51935846,8.83E-08,9.85E-05,8.70E-06,5.42E-05,194.426754,8.13E-08,0.029252256,13.74491243,27.11550744,85.58271232,3.10E-07,68.30545917,1.72E-06,4999998.692,2.65E-05,0.00011754,7.71E-05,153.8834353,2.63E-07,0.164596466,0.011214605,9.12E-12,110.0254139,9.15E-08,85.62437874,1.35E-06,4998815.516,1.01E-05,0.000115206,6.92E-05,195.6421354,8.57E-08,0.568993459,13.39491243,26.83550744,-13.61728768,2.20E-07,-30.59454083,7.11E-07,4989969.692,-0.338785395,-0.28,10.82541392,1.20E-09,-13.27562126,3.35E-07,4988786.516
model,20220930_163721,1,0,0,1,1.554618367,1,0.35,0.28,99.2,9.03E-08,98.9,2.34E-06,100.3,6.56E-11,16.60402634,8.40E-06,50.5913154,8.71E-08,0.000139414,4.40E-06,0.000106053,67.19534175,8.62E-08,0.287570093,14.41067002,15.91197513,28.10716687,7.20E-07,21.4909975,9.65E-06,147.0926627,2.02E-05,0.000207462,0.000126342,37.09133858,6.70E-07,0.706034127,5.40E-11,7.96E-10,83.73574778,8.68E-08,52.50750445,4.00E-06,133.1293495,7.27E-06,0.000210158,0.000131965,67.33415138,8.49E-08,0.21054574,14.06067002,15.63197513,-71.09283313,6.30E-07,-77.4090025,7.31E-06,46.79266269,-0.35,-0.279999999,-15.46425222,-3.51E-09,-46.39249555,1.66E-06,32.82934951
model,20220930_163721,2,0,0,1,1.647145832,1,0.35,0.28,99.2,9.03E-08,98.9,2.34E-06,1000.9,5.75E-14,75.04131714,2.79E-06,90.64754444,8.86E-08,0.000209611,8.03E-06,0.000118313,165.6888616,8.58E-08,0.038873605,20.74653407,19.894502,63.5999932,3.91E-07,62.33436664,4.05E-06,4999997.434,2.49E-05,0.00025258,0.000139872,125.931188,3.57E-07,0.281461633,0.000929515,3.65E-08,94.17182416,8.82E-08,72.42316737,3.09E-06,4888238.322,8.31E-06,0.000223806,0.000130122,166.589314,8.57E-08,0.610602154,20.39653407,19.614502,-35.6000068,3.01E-07,-36.56563336,1.71E-06,4998996.534,-0.349070485,-0.279999964,-5.028175844,-2.11E-09,-26.47683263,7.50E-07,4887237.422
model,20220930_163721,3,0,0,1,1.609054647,1,0.35,0.28,99.2,9.03E-08,98.9,2.34E-06,10029,8.43E-13,96.70934078,2.34E-06,97.99244448,8.86E-08,0.000226475,8.68E-06,0.000118295,194.7017853,8.53E-08,0.020931307,25.47607992,20.98354318,70.87784117,4.30E-07,78.44260119,3.40E-06,5000000,3.05E-05,0.000266554,0.000142547,149.3159832,3.82E-07,0.466675729,0.000423462,1.34E-08,101.3255653,8.82E-08,94.14531031,2.52E-06,4705012.32,8.94E-06,0.000237205,0.000127265,195.462755,8.53E-08,0.731526327,25.12607992,20.70354318,-28.32215883,3.40E-07,-20.45739881,1.06E-06,4989971,-0.349576538,-0.279999987,2.12556525,-2.06E-09,-4.754689686,1.80E-07,4694983.32
model,20220930_164855,1,0,0,1,1.504138672,1,0.35,0.28,99.2,9.03E-08,994,9.20E-08,100.3,0.004365331,17.42467214,1.31E-06,75.12982731,5.02E-08,2.29E-05,3.78E-06,1.93E-05,92.55449945,4.84E-08,0.107556782,39.16337753,4.60E-13,62.85222983,7.77E-07,752.416616,2.95E-07,57.28032619,4.88E-05,0.000221697,6.22E-05,53.52003866,2.14E-07,0.378974434,39.36783763,9.59E-12,7.003890343,1.63E-06,450.0942782,2.31E-07,60.17800954,1.14E-05,0.000103903,1.28E-05,53.17712107,2.02E-07,0.00516842,38.81337753,-0.28,-36.34777017,6.87E-07,-241.583384,2.03E-07,-43.01967381,39.01783763,-0.28,-92.19610966,1.54E-06,-543.9057218,1.39E-07,-40.12199046
